link,id,nome,peso,altura,tipo1,tipo2,link ev 1,evolucao1,id_evolucao1,link ev 2,evolucao2,id_evolucao2,link hab 1,habilidade1,hab_desc1,link hab 2,habilidade2,hab_desc2
/pokedex/oddish,0043,Oddish,5.4 kg (11.9 lbs),0.5 m (1′08″),Grass,Poison,/pokedex/gloom,Gloom,#0044,,,,/ability/chlorophyll,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,
/pokedex/zubat,0042,Golbat,55.0 kg (121.3 lbs),1.6 m (5′03″),Poison,Flying,/pokedex/golbat,Golbat,#0042,/pokedex/crobat,Crobat,#0169,/ability/inner-focus,Inner Focus,The Pokémon is protected from flinching.,,,
/pokedex/zubat,0041,Zubat,7.5 kg (16.5 lbs),0.8 m (2′07″),Poison,Flying,/pokedex/golbat,Golbat,#0042,/pokedex/crobat,Crobat,#0169,/ability/inner-focus,Inner Focus,The Pokémon is protected from flinching.,,,
/pokedex/igglybuff,0040,Wigglytuff,12.0 kg (26.5 lbs),1.0 m (3′03″),Normal,Fairy,/pokedex/jigglypuff,Jigglypuff,#0039,/pokedex/wigglytuff,Wigglytuff,#0040,/ability/cute-charm,Cute Charm,Contact with the Pokémon may cause infatuation.,/ability/competitive,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.
/pokedex/oddish,0045,Vileplume,18.6 kg (41.0 lbs),1.2 m (3′11″),Grass,Poison,/pokedex/gloom,Gloom,#0044,,,,/ability/chlorophyll,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,
/pokedex/oddish,0044,Gloom,8.6 kg (19.0 lbs),0.8 m (2′07″),Grass,Poison,/pokedex/gloom,Gloom,#0044,,,,/ability/chlorophyll,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,
/pokedex/igglybuff,0039,Jigglypuff,5.5 kg (12.1 lbs),0.5 m (1′08″),Normal,Fairy,/pokedex/jigglypuff,Jigglypuff,#0039,/pokedex/wigglytuff,Wigglytuff,#0040,/ability/cute-charm,Cute Charm,Contact with the Pokémon may cause infatuation.,/ability/competitive,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.
/pokedex/vulpix,0038,Ninetales,19.9 kg (43.9 lbs),1.1 m (3′07″),Fire,Fairy,/pokedex/ninetales,Ninetales,#0038,,,,/ability/flash-fire,Flash Fire,It powers up Fire-type moves if it's hit by one.,,,
/pokedex/diglett,0051,Dugtrio,33.3 kg (73.4 lbs),0.7 m (2′04″),Ground,Steel,/pokedex/dugtrio,Dugtrio,#0051,,,,/ability/sand-veil,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,/ability/arena-trap,Arena Trap,Prevents the foe from fleeing.
/pokedex/diglett,0050,Diglett,0.8 kg (1.8 lbs),0.2 m (0′08″),Ground,Steel,/pokedex/dugtrio,Dugtrio,#0051,,,,/ability/sand-veil,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,/ability/arena-trap,Arena Trap,Prevents the foe from fleeing.
/pokedex/venonat,0049,Venomoth,12.5 kg (27.6 lbs),1.5 m (4′11″),Bug,Poison,/pokedex/venomoth,Venomoth,#0049,,,,/ability/shield-dust,Shield Dust,Blocks the added effects of attacks taken.,/ability/tinted-lens,Tinted Lens,Powers up “not very effective” moves.
/pokedex/venonat,0048,Venonat,30.0 kg (66.1 lbs),1.0 m (3′03″),Bug,Poison,/pokedex/venomoth,Venomoth,#0049,,,,/ability/compound-eyes,Compound Eyes,The Pokémon's accuracy is boosted.,/ability/tinted-lens,Tinted Lens,Powers up “not very effective” moves.
/pokedex/growlithe,0058,Growlithe,19.0 kg (41.9 lbs),0.7 m (2′04″),Fire,Rock,/pokedex/arcanine,Arcanine,#0059,,,,/ability/intimidate,Intimidate,Lowers the foe's Attack stat.,/ability/flash-fire,Flash Fire,It powers up Fire-type moves if it's hit by one.
/pokedex/mankey,0057,Primeape,32.0 kg (70.5 lbs),1.0 m (3′03″),Fighting,,/pokedex/primeape,Primeape,#0057,/pokedex/annihilape,Annihilape,#0979,/ability/vital-spirit,Vital Spirit,Prevents the Pokémon from falling asleep.,/ability/anger-point,Anger Point,Maxes Attack after taking a critical hit.
/pokedex/mankey,0056,Mankey,28.0 kg (61.7 lbs),0.5 m (1′08″),Fighting,,/pokedex/primeape,Primeape,#0057,/pokedex/annihilape,Annihilape,#0979,/ability/vital-spirit,Vital Spirit,Prevents the Pokémon from falling asleep.,/ability/anger-point,Anger Point,Maxes Attack after taking a critical hit.
/pokedex/psyduck,0055,Golduck,76.6 kg (168.9 lbs),1.7 m (5′07″),Water,,/pokedex/golduck,Golduck,#0055,,,,/ability/damp,Damp,Prevents the use of self-destructing moves.,/ability/cloud-nine,Cloud Nine,Eliminates the effects of weather.
/pokedex/abra,0065,Alakazam,48.0 kg (105.8 lbs),1.5 m (4′11″),Psychic,,/pokedex/kadabra,Kadabra,#0064,/pokedex/alakazam,Alakazam,#0065,/ability/synchronize,Synchronize,"Passes a burn, poison, or paralysis to the foe.",/ability/inner-focus,Inner Focus,The Pokémon is protected from flinching.
/pokedex/abra,0064,Kadabra,56.5 kg (124.6 lbs),1.3 m (4′03″),Psychic,,/pokedex/kadabra,Kadabra,#0064,/pokedex/alakazam,Alakazam,#0065,/ability/synchronize,Synchronize,"Passes a burn, poison, or paralysis to the foe.",/ability/inner-focus,Inner Focus,The Pokémon is protected from flinching.
/pokedex/abra,0063,Abra,19.5 kg (43.0 lbs),0.9 m (2′11″),Psychic,6,/pokedex/kadabra,Kadabra,#0064,/pokedex/alakazam,Alakazam,#0065,/ability/synchronize,Synchronize,"Passes a burn, poison, or paralysis to the foe.",/ability/inner-focus,Inner Focus,The Pokémon is protected from flinching.
/pokedex/poliwag,0062,Poliwrath,54.0 kg (119.0 lbs),1.3 m (4′03″),Water,Fighting,/pokedex/poliwhirl,Poliwhirl,#0061,,,,/ability/water-absorb,Water Absorb,Restores HP if hit by a Water-type move.,/ability/damp,Damp,Prevents the use of self-destructing moves.
/pokedex/machop,0067,Machoke,70.5 kg (155.4 lbs),1.5 m (4′11″),Fighting,Underground Path 5-6,/pokedex/machoke,Machoke,#0067,/pokedex/machamp,Machamp,#0068,/ability/guts,Guts,Boosts Attack if there is a status problem.,/ability/no-guard,No Guard,Ensures attacks by or against the Pokémon land.
/pokedex/machop,0066,Machop,19.5 kg (43.0 lbs),0.8 m (2′07″),Fighting,Rock Tunnel,/pokedex/machoke,Machoke,#0067,/pokedex/machamp,Machamp,#0068,/ability/guts,Guts,Boosts Attack if there is a status problem.,/ability/no-guard,No Guard,Ensures attacks by or against the Pokémon land.
/pokedex/poliwag,0061,Poliwhirl,20.0 kg (44.1 lbs),1.0 m (3′03″),Water,23,/pokedex/poliwhirl,Poliwhirl,#0061,,,,/ability/water-absorb,Water Absorb,Restores HP if hit by a Water-type move.,/ability/damp,Damp,Prevents the use of self-destructing moves.
/pokedex/poliwag,0060,Poliwag,12.4 kg (27.3 lbs),0.6 m (2′00″),Water,22,/pokedex/poliwhirl,Poliwhirl,#0061,,,,/ability/water-absorb,Water Absorb,Restores HP if hit by a Water-type move.,/ability/damp,Damp,Prevents the use of self-destructing moves.
/pokedex/geodude,0075,Graveler,105.0 kg (231.5 lbs),1.0 m (3′03″),Rock,Ground,/pokedex/graveler,Graveler,#0075,/pokedex/golem,Golem,#0076,/ability/rock-head,Rock Head,Protects the Pokémon from recoil damage.,/ability/sturdy,Sturdy,It cannot be knocked out with one hit.
/pokedex/geodude,0074,Geodude,20.0 kg (44.1 lbs),0.4 m (1′04″),Rock,Ground,/pokedex/graveler,Graveler,#0075,/pokedex/golem,Golem,#0076,/ability/rock-head,Rock Head,Protects the Pokémon from recoil damage.,/ability/sturdy,Sturdy,It cannot be knocked out with one hit.
/pokedex/tentacool,0073,Tentacruel,55.0 kg (121.3 lbs),1.6 m (5′03″),Water,Poison,/pokedex/tentacruel,Tentacruel,#0073,,,,/ability/clear-body,Clear Body,Prevents other Pokémon from lowering its stats.,/ability/liquid-ooze,Liquid Ooze,Damages attackers using any draining move.
/pokedex/tentacool,0072,Tentacool,45.5 kg (100.3 lbs),0.9 m (2′11″),Water,Poison,/pokedex/tentacruel,Tentacruel,#0073,,,,/ability/clear-body,Clear Body,Prevents other Pokémon from lowering its stats.,/ability/liquid-ooze,Liquid Ooze,Damages attackers using any draining move.
/pokedex/ponyta,0078,Rapidash,95.0 kg (209.4 lbs),1.7 m (5′07″),Fire,Fairy,/pokedex/rapidash,Rapidash,#0078,,,,/ability/run-away,Run Away,Enables a sure getaway from wild Pokémon.,/ability/flash-fire,Flash Fire,It powers up Fire-type moves if it's hit by one.
/pokedex/ponyta,0077,Ponyta,30.0 kg (66.1 lbs),1.0 m (3′03″),Fire,,/pokedex/rapidash,Rapidash,#0078,,,,/ability/run-away,Run Away,Enables a sure getaway from wild Pokémon.,/ability/flash-fire,Flash Fire,It powers up Fire-type moves if it's hit by one.
/pokedex/geodude,0076,Golem,300.0 kg (661.4 lbs),1.4 m (4′07″),Rock,Ground,/pokedex/graveler,Graveler,#0075,/pokedex/golem,Golem,#0076,/ability/rock-head,Rock Head,Protects the Pokémon from recoil damage.,/ability/sturdy,Sturdy,It cannot be knocked out with one hit.
/pokedex/bellsprout,0071,Victreebel,15.5 kg (34.2 lbs),1.7 m (5′07″),Grass,Poison,/pokedex/weepinbell,Weepinbell,#0070,/pokedex/victreebel,Victreebel,#0071,/ability/chlorophyll,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,
/pokedex/slowpoke,0079,Slowpoke,36.0 kg (79.4 lbs),1.2 m (3′11″),Water,Psychic,,,,,,,/ability/oblivious,Oblivious,Prevents it from becoming infatuated.,/ability/own-tempo,Own Tempo,Prevents the Pokémon from becoming confused.
/pokedex/bellsprout,0070,Weepinbell,6.4 kg (14.1 lbs),1.0 m (3′03″),Grass,Poison,/pokedex/weepinbell,Weepinbell,#0070,/pokedex/victreebel,Victreebel,#0071,/ability/chlorophyll,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,
/pokedex/bellsprout,0069,Bellsprout,4.0 kg (8.8 lbs),0.7 m (2′04″),Grass,Poison,/pokedex/weepinbell,Weepinbell,#0070,/pokedex/victreebel,Victreebel,#0071,/ability/chlorophyll,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,
/pokedex/machop,0068,Machamp,130.0 kg (286.6 lbs),1.6 m (5′03″),Fighting,,/pokedex/machoke,Machoke,#0067,/pokedex/machamp,Machamp,#0068,/ability/guts,Guts,Boosts Attack if there is a status problem.,/ability/no-guard,No Guard,Ensures attacks by or against the Pokémon land.
/pokedex/grimer,0088,Grimer,30.0 kg (66.1 lbs),0.9 m (2′11″),Poison,Dark,/pokedex/muk,Muk,#0089,,,,/ability/stench,Stench,The stench may cause the target to flinch.,/ability/sticky-hold,Sticky Hold,Protects the Pokémon from item theft.
/pokedex/seel,0087,Dewgong,120.0 kg (264.6 lbs),1.7 m (5′07″),Water,Ice,/pokedex/dewgong,Dewgong,#0087,,,,/ability/thick-fat,Thick Fat,Ups resistance to Fire- and Ice-type moves.,/ability/hydration,Hydration,Heals status problems if it is raining.
/pokedex/seel,0086,Seel,90.0 kg (198.4 lbs),1.1 m (3′07″),Water,,/pokedex/dewgong,Dewgong,#0087,,,,/ability/thick-fat,Thick Fat,Ups resistance to Fire- and Ice-type moves.,/ability/hydration,Hydration,Heals status problems if it is raining.
/pokedex/doduo,0085,Dodrio,85.2 kg (187.8 lbs),1.8 m (5′11″),Normal,Flying,/pokedex/dodrio,Dodrio,#0085,,,,/ability/run-away,Run Away,Enables a sure getaway from wild Pokémon.,/ability/early-bird,Early Bird,The Pokémon awakens quickly from sleep.
/pokedex/gastly,0092,Gastly,0.1 kg (0.2 lbs),1.3 m (4′03″),Ghost,Poison,/pokedex/haunter,Haunter,#0093,/pokedex/gengar,Gengar,#0094,/ability/levitate,Levitate,Gives immunity to Ground type moves.,,,
/pokedex/shellder,0091,Cloyster,132.5 kg (292.1 lbs),1.5 m (4′11″),Water,Ice,/pokedex/cloyster,Cloyster,#0091,,,,/ability/shell-armor,Shell Armor,The Pokémon is protected against critical hits.,/ability/skill-link,Skill Link,Increases the frequency of multi-strike moves.
/pokedex/shellder,0090,Shellder,4.0 kg (8.8 lbs),0.3 m (1′00″),Water,18,/pokedex/cloyster,Cloyster,#0091,,,,/ability/shell-armor,Shell Armor,The Pokémon is protected against critical hits.,/ability/skill-link,Skill Link,Increases the frequency of multi-strike moves.
/pokedex/grimer,0089,Muk,30.0 kg (66.1 lbs),1.2 m (3′11″),Poison,Dark,/pokedex/muk,Muk,#0089,,,,/ability/stench,Stench,The stench may cause the target to flinch.,/ability/sticky-hold,Sticky Hold,Protects the Pokémon from item theft.
/pokedex/onix,0095,Onix,210.0 kg (463.0 lbs),8.8 m (28′10″),Rock,Ground,/pokedex/steelix,Steelix,#0208,,,,/ability/rock-head,Rock Head,Protects the Pokémon from recoil damage.,/ability/sturdy,Sturdy,It cannot be knocked out with one hit.
/pokedex/gastly,0094,Gengar,40.5 kg (89.3 lbs),1.5 m (4′11″),Ghost,Poison,/pokedex/haunter,Haunter,#0093,/pokedex/gengar,Gengar,#0094,/ability/cursed-body,Cursed Body,May disable a move used on the Pokémon.,,,
/pokedex/gastly,0093,Haunter,0.1 kg (0.2 lbs),1.6 m (5′03″),Ghost,Poison,/pokedex/haunter,Haunter,#0093,/pokedex/gengar,Gengar,#0094,/ability/levitate,Levitate,Gives immunity to Ground type moves.,,,
/pokedex/doduo,0084,Doduo,39.2 kg (86.4 lbs),1.4 m (4′07″),Normal,Flying,/pokedex/dodrio,Dodrio,#0085,,,,/ability/run-away,Run Away,Enables a sure getaway from wild Pokémon.,/ability/early-bird,Early Bird,The Pokémon awakens quickly from sleep.
/pokedex/voltorb,0100,Voltorb,10.4 kg (22.9 lbs),0.5 m (1′08″),Electric,Grass,/pokedex/electrode,Electrode,#0101,,,,/ability/soundproof,Soundproof,Gives immunity to <q>sound-based</q> moves.,/ability/static,Static,Contact with the Pokémon may cause paralysis.
/pokedex/krabby,0099,Kingler,60.0 kg (132.3 lbs),1.3 m (4′03″),Water,Cerulean Cave,/pokedex/kingler,Kingler,#0099,,,,/ability/hyper-cutter,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,/ability/shell-armor,Shell Armor,The Pokémon is protected against critical hits.
/pokedex/krabby,0098,Krabby,6.5 kg (14.3 lbs),0.4 m (1′04″),Water,11,/pokedex/kingler,Kingler,#0099,,,,/ability/hyper-cutter,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,/ability/shell-armor,Shell Armor,The Pokémon is protected against critical hits.
/pokedex/drowzee,0097,Hypno,75.6 kg (166.7 lbs),1.6 m (5′03″),Psychic,,/pokedex/hypno,Hypno,#0097,,,,/ability/insomnia,Insomnia,Prevents the Pokémon from falling asleep.,/ability/forewarn,Forewarn,Determines what moves a foe has.
/pokedex/exeggcute,0103,Exeggutor,120.0 kg (264.6 lbs),2.0 m (6′07″),Grass,Psychic,,,,,,,/ability/chlorophyll,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,
/pokedex/exeggcute,0102,Exeggcute,2.5 kg (5.5 lbs),0.4 m (1′04″),Grass,Psychic,,,,,,,/ability/chlorophyll,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,
/pokedex/voltorb,0101,Electrode,66.6 kg (146.8 lbs),1.2 m (3′11″),Electric,Grass,/pokedex/electrode,Electrode,#0101,,,,/ability/soundproof,Soundproof,Gives immunity to <q>sound-based</q> moves.,/ability/static,Static,Contact with the Pokémon may cause paralysis.
/pokedex/drowzee,0096,Drowzee,32.4 kg (71.4 lbs),1.0 m (3′03″),Psychic,34,/pokedex/hypno,Hypno,#0097,,,,/ability/insomnia,Insomnia,Prevents the Pokémon from falling asleep.,/ability/forewarn,Forewarn,Determines what moves a foe has.
/pokedex/lickitung,0108,Lickitung,65.5 kg (144.4 lbs),1.2 m (3′11″),Normal,,/pokedex/lickilicky,Lickilicky,#0463,,,,/ability/own-tempo,Own Tempo,Prevents the Pokémon from becoming confused.,/ability/oblivious,Oblivious,Prevents it from becoming infatuated.
/pokedex/tyrogue,0107,Hitmonchan,50.2 kg (110.7 lbs),1.4 m (4′07″),Fighting,,,,,,,,/ability/keen-eye,Keen Eye,Prevents other Pokémon from lowering accuracy.,/ability/iron-fist,Iron Fist,Boosts the power of punching moves.
/pokedex/tyrogue,0106,Hitmonlee,49.8 kg (109.8 lbs),1.5 m (4′11″),Fighting,,,,,,,,/ability/limber,Limber,The Pokémon is protected from paralysis.,/ability/reckless,Reckless,Powers up moves that have recoil damage.
/pokedex/cubone,0105,Marowak,45.0 kg (99.2 lbs),1.0 m (3′03″),Ground,Ghost,,,,,,,/ability/rock-head,Rock Head,Protects the Pokémon from recoil damage.,/ability/lightning-rod,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.
/pokedex/goldeen,0119,Seaking,39.0 kg (86.0 lbs),1.3 m (4′03″),Water,Cerulean Cave,/pokedex/seaking,Seaking,#0119,,,,/ability/swift-swim,Swift Swim,Boosts the Pokémon's Speed in rain.,/ability/water-veil,Water Veil,Prevents the Pokémon from getting a burn.
/pokedex/goldeen,0118,Goldeen,15.0 kg (33.1 lbs),0.6 m (2′00″),Water,9,/pokedex/seaking,Seaking,#0119,,,,/ability/swift-swim,Swift Swim,Boosts the Pokémon's Speed in rain.,/ability/water-veil,Water Veil,Prevents the Pokémon from getting a burn.
/pokedex/horsea,0117,Seadra,25.0 kg (55.1 lbs),1.2 m (3′11″),Water,Cerulean Cave,/pokedex/seadra,Seadra,#0117,/pokedex/kingdra,Kingdra,#0230,/ability/poison-point,Poison Point,Contact with the Pokémon may poison the attacker.,/ability/sniper,Sniper,Powers up moves if they become critical hits.
/pokedex/horsea,0116,Horsea,8.0 kg (17.6 lbs),0.4 m (1′04″),Water,11,/pokedex/seadra,Seadra,#0117,/pokedex/kingdra,Kingdra,#0230,/ability/swift-swim,Swift Swim,Boosts the Pokémon's Speed in rain.,/ability/sniper,Sniper,Powers up moves if they become critical hits.
,0127,Pinsir,55.0 kg (121.3 lbs),1.5 m (4′11″),Bug,Flying,,,,,,,/ability/hyper-cutter,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,/ability/mold-breaker,Mold Breaker,Moves can be used regardless of Abilities.
/pokedex/magby,0126,Magmar,44.5 kg (98.1 lbs),1.3 m (4′03″),Fire,,/pokedex/magmar,Magmar,#0126,/pokedex/magmortar,Magmortar,#0467,/ability/flame-body,Flame Body,Contact with the Pokémon may burn the attacker.,,,
/pokedex/elekid,0125,Electabuzz,30.0 kg (66.1 lbs),1.1 m (3′07″),Electric,,/pokedex/electabuzz,Electabuzz,#0125,/pokedex/electivire,Electivire,#0466,/ability/static,Static,Contact with the Pokémon may cause paralysis.,,,
/pokedex/smoochum,0124,Jynx,40.6 kg (89.5 lbs),1.4 m (4′07″),Ice,Psychic,/pokedex/jynx,Jynx,#0124,,,,/ability/oblivious,Oblivious,Prevents it from becoming infatuated.,/ability/forewarn,Forewarn,Determines what moves a foe has.
,0128,Tauros,88.4 kg (194.9 lbs),1.4 m (4′07″),Normal,Fire,,,,,,,/ability/intimidate,Intimidate,Lowers the foe's Attack stat.,/ability/anger-point,Anger Point,Maxes Attack after taking a critical hit.
/pokedex/scyther,0123,Scyther,56.0 kg (123.5 lbs),1.5 m (4′11″),Bug,Flying,,,,,,,/ability/swarm,Swarm,Powers up Bug-type moves in a pinch.,/ability/technician,Technician,Powers up the Pokémon's weaker moves.
/pokedex/mime-jr,0122,Mr. Mime,54.5 kg (120.2 lbs),1.3 m (4′03″),Psychic,Fairy,,,,,,,/ability/soundproof,Soundproof,Gives immunity to <q>sound-based</q> moves.,/ability/filter,Filter,Reduces damage from super-effective attacks.
/pokedex/staryu,0121,Starmie,80.0 kg (176.4 lbs),1.1 m (3′07″),Water,Psychic,/pokedex/starmie,Starmie,#0121,,,,/ability/illuminate,Illuminate,Raises the likelihood of meeting wild Pokémon.,/ability/natural-cure,Natural Cure,All status problems heal when it switches out.
,0131,Lapras,220.0 kg (485.0 lbs),2.5 m (8′02″),Water,Ice,,,,,,,/ability/water-absorb,Water Absorb,Restores HP if hit by a Water-type move.,/ability/shell-armor,Shell Armor,The Pokémon is protected against critical hits.
/pokedex/magikarp,0130,Gyarados,235.0 kg (518.1 lbs),6.5 m (21′04″),Water,Flying,/pokedex/gyarados,Gyarados,#0130,,,,/ability/intimidate,Intimidate,Lowers the foe's Attack stat.,,,
/pokedex/magikarp,0129,Magikarp,10.0 kg (22.0 lbs),0.9 m (2′11″),Water,9,/pokedex/gyarados,Gyarados,#0130,,,,/ability/swift-swim,Swift Swim,Boosts the Pokémon's Speed in rain.,,,
/pokedex/staryu,0120,Staryu,34.5 kg (76.1 lbs),0.8 m (2′07″),Water,20,/pokedex/starmie,Starmie,#0121,,,,/ability/illuminate,Illuminate,Raises the likelihood of meeting wild Pokémon.,/ability/natural-cure,Natural Cure,All status problems heal when it switches out.
/pokedex/eevee,0134,Vaporeon,29.0 kg (63.9 lbs),1.0 m (3′03″),Water,,/pokedex/sylveon,Sylveon,#0700,,,,/ability/water-absorb,Water Absorb,Restores HP if hit by a Water-type move.,,,
